10107;	-35;	28;	0,48;	0,062;	1,175;	38,4;	0,007;	0,009;	0,4805;	0,5306;	-0,1011;	0,4301
10230;	-28;	52;	0,365;	-1,167;	0,555;	46,1;	0,008;	0,011;	0,3647;	0,6143;	-0,0267;	0,4541
10354;	-22;	39;	0,344;	0,027;	0,711;	47,7;	0,01;	0,013;	0,3442;	0,5868;	-0,0988;	0,4264
10477;	-5;	33;	0,309;	0,262;	0,98;	47,7;	0,011;	0,015;	0,3093;	0,5652;	-0,1142;	0,4109
10596;	-9;	25;	0,263;	-0,536;	1,113;	47,2;	0,013;	0,017;	0,2627;	0,5543;	-0,1324;	0,4044
10715;	-16;	23;	0,314;	-0,481;	0,93;	46,4;	0,015;	0,019;	0,3142;	0,5479;	-0,1993;	0,4018
10836;	-30;	27;	0,288;	-1,254;	0,515;	43,1;	0,017;	0,021;	0,2878;	0,4772;	-0,1362;	0,3747
10959;	-23;	21;	0,341;	-0,162;	0,418;	38,9;	0,019;	0,022;	0,3408;	0,4475;	-0,2002;	0,3741
11084;	-14;	6;	0,063;	0,247;	0,985;	33,6;	0,022;	0,024;	0,0635;	0,3769;	-0,2519;	0,3304
11206;	-12;	-5;	-0,075;	-0,142;	0,69;	27;	0,024;	0,025;	-0,075;	0,2979;	-0,242;	0,2661
11329;	-17;	-18;	-0,452;	-0,48;	1,776;	20,4;	0,027;	0,025;	-0,4524;	0,2039;	-0,257;	0,1807
11453;	-23;	-20;	-0,308;	-0,568;	1,21;	12,6;	0,029;	0,026;	-0,3083;	0,1;	-0,3329;	0,0868
11580;	-30;	-21;	-0,358;	-0,274;	1,315;	3,6;	0,032;	0,026;	-0,3582;	-0,0115;	-0,373;	-0,0136
11708;	-35;	-21;	-0,382;	-0,598;	0,812;	-3,2;	0,034;	0,025;	-0,3821;	-0,0872;	-0,3089;	-0,085
11834;	-40;	-33;	-0,391;	0,077;	1,946;	-8,4;	0,037;	0,025;	-0,3909;	-0,1444;	-0,2924;	-0,1392
11958;	-34;	-31;	-0,442;	-0,153;	0,817;	-12,7;	0,039;	0,024;	-0,4424;	-0,2052;	-0,2079;	-0,1936
12085;	-39;	-26;	-0,088;	-0,575;	0,701;	-14,8;	0,042;	0,023;	-0,0876;	-0,214;	-0,1657;	-0,1997
12211;	-38;	-22;	-0,218;	-0,537;	0,884;	-15,6;	0,044;	0,023;	-0,218;	-0,2166;	-0,1597;	-0,2016
12338;	-38;	-16;	-0,171;	-0,607;	0,679;	-15,6;	0,046;	0,022;	-0,1714;	-0,2133;	-0,1534;	-0,1984
12464;	-37;	-13;	-0,131;	-0,57;	0,863;	-14;	0,048;	0,021;	-0,1309;	-0,161;	-0,167;	-0,148
12591;	-35;	-8;	-0,132;	-0,575;	0,877;	-9,5;	0,05;	0,021;	-0,1316;	-0,1029;	-0,1826;	-0,096
12715;	-35;	-8;	-0,12;	-0,579;	0,863;	-5,7;	0,052;	0,021;	-0,1204;	-0,0486;	-0,2109;	-0,0457
12843;	-35;	-7;	-0,108;	-0,593;	1,875;	-2;	0,054;	0,021;	-0,1084;	-0,0205;	-0,2168;	-0,0194
12971;	-35;	-6;	-0,117;	-0,586;	0,863;	1;	0,057;	0,021;	-0,1169;	0,0001;	-0,2124;	0,0003
13096;	-35;	-6;	-0,115;	-0,586;	0,869;	2,6;	0,059;	0,021;	-0,1152;	0,0038;	-0,2088;	0,004
13220;	-35;	-6;	-0,115;	-0,582;	0,881;	3,4;	0,061;	0,021;	-0,1152;	0,0051;	-0,2067;	0,0053
13345;	-35;	-7;	-0,111;	-0,581;	0,871;	3,7;	0,063;	0,021;	-0,1108;	0,0055;	-0,2061;	0,0058
13470;	-35;	-7;	-0,119;	-0,591;	0,869;	3,8;	0,065;	0,021;	-0,1189;	0,0057;	-0,2055;	0,006
13595;	-35;	-7;	-0,113;	-0,586;	0,865;	3,8;	0,067;	0,021;	-0,1133;	0,0066;	-0,2051;	0,0069
13720;	-35;	-7;	-0,112;	-0,595;	0,875;	3,6;	0,069;	0,021;	-0,1116;	0,0072;	-0,2042;	0,0074
13845;	-35;	-7;	-0,115;	-0,586;	0,869;	3,5;	0,071;	0,021;	-0,1145;	0,0073;	-0,2036;	0,0075
13970;	-35;	-7;	-0,113;	-0,593;	0,871;	3,3;	0,073;	0,021;	-0,1133;	0,0078;	-0,203;	0,008
14092;	-34;	-7;	-0,115;	-0,587;	0,867;	3,2;	0,075;	0,021;	-0,1155;	0,0076;	-0,2019;	0,0077
14213;	-34;	-7;	-0,117;	-0,587;	0,867;	3;	0,077;	0,021;	-0,1172;	0,0084;	-0,2017;	0,0086
14335;	-34;	-7;	-0,117;	-0,591;	0,875;	3;	0,08;	0,021;	-0,1174;	0,0087;	-0,2015;	0,0089
14459;	-34;	-7;	-0,109;	-0,59;	0,875;	3,1;	0,082;	0,021;	-0,1091;	0,0096;	-0,2015;	0,0098
14584;	-34;	-7;	-0,115;	-0,589;	0,87;	3,1;	0,084;	0,021;	-0,115;	0,0098;	-0,2015;	0,01
14709;	-34;	-7;	-0,112;	-0,587;	0,866;	3,1;	0,086;	0,021;	-0,1123;	0,0109;	-0,2013;	0,011
14834;	-34;	-7;	-0,115;	-0,586;	0,862;	3,1;	0,088;	0,021;	-0,1155;	0,011;	-0,2014;	0,0112
14959;	-34;	-7;	-0,11;	-0,593;	0,867;	3,1;	0,09;	0,021;	-0,1096;	0,0115;	-0,201;	0,0116
15084;	-35;	-7;	-0,106;	-0,594;	0,863;	3,1;	0,092;	0,021;	-0,1057;	0,0116;	-0,2012;	0,0117
15209;	-34;	-7;	-0,105;	-0,588;	0,858;	3;	0,094;	0,021;	-0,1055;	0,0121;	-0,201;	0,0123
15330;	-34;	-7;	-0,112;	-0,596;	0,862;	3,1;	0,096;	0,021;	-0,1123;	0,0119;	-0,2007;	0,012
15452;	-34;	-7;	-0,117;	-0,584;	0,872;	3,1;	0,099;	0,021;	-0,1167;	0,012;	-0,2005;	0,0122
15573;	-34;	-7;	-0,108;	-0,592;	0,862;	3,1;	0,101;	0,021;	-0,1079;	0,0119;	-0,1998;	0,0121
15698;	-34;	-7;	-0,11;	-0,588;	0,864;	3,1;	0,103;	0,021;	-0,1096;	0,0118;	-0,1995;	0,0119
15822;	-34;	-7;	-0,112;	-0,593;	0,872;	3;	0,105;	0,022;	-0,1118;	0,0119;	-0,1993;	0,012
15947;	-34;	-7;	-0,111;	-0,591;	0,87;	3;	0,107;	0,022;	-0,1106;	0,012;	-0,1995;	0,0121
16072;	-34;	-7;	-0,112;	-0,594;	0,869;	2,9;	0,109;	0,022;	-0,1121;	0,0121;	-0,1999;	0,0122
16197;	-34;	-7;	-0,115;	-0,593;	0,865;	2,9;	0,112;	0,022;	-0,1152;	0,0128;	-0,2003;	0,0129
16322;	-34;	-8;	-0,112;	-0,59;	0,871;	2,8;	0,114;	0,022;	-0,1123;	0,0126;	-0,2005;	0,0127
16447;	-34;	-8;	-0,109;	-0,595;	0,872;	2,7;	0,116;	0,022;	-0,1091;	0,0124;	-0,2002;	0,0125
16572;	-34;	-7;	-0,107;	-0,588;	0,874;	2,7;	0,118;	0,022;	-0,1067;	0,0127;	-0,2001;	0,0128
16694;	-34;	-7;	-0,11;	-0,594;	0,87;	2,7;	0,12;	0,022;	-0,1099;	0,0127;	-0,1997;	0,0128
16815;	-34;	-7;	-0,11;	-0,592;	0,862;	2,7;	0,122;	0,022;	-0,1101;	0,0124;	-0,1986;	0,0125
16937;	-34;	-7;	-0,115;	-0,594;	0,866;	2,8;	0,125;	0,022;	-0,1145;	0,013;	-0,1981;	0,0131
17061;	-35;	-8;	-0,111;	-0,593;	0,866;	2,7;	0,127;	0,022;	-0,1108;	0,0128;	-0,198;	0,0129
17186;	-35;	-8;	-0,112;	-0,589;	0,859;	2,7;	0,129;	0,022;	-0,1118;	0,0128;	-0,198;	0,0129
17311;	-36;	-9;	-0,108;	-0,595;	0,864;	2,3;	0,131;	0,022;	-0,1079;	0,0127;	-0,1828;	0,0128
17435;	-35;	-9;	-0,108;	-0,593;	0,865;	1,9;	0,133;	0,022;	-0,1079;	0,0131;	-0,1826;	0,0132
